item_number,name_he,excel_name
"299-018C","מקדח יהלום - 5 יח","299-018"
"299-019F","מקדח יהלום - 5 יח","299-019S(Short)"
"508T-016M","מקדח יהלום - 5 יח - להשחזת שיניים בגבול החניכיים בצורה מתכנסת","508T-016M"
"521-019SC","מקדח יהלום - 5 יח","521-019S"
"539-007C","מקדח יהלום - 5 יח","539-007"
"540-008F","מקדח יהלום - 5 יח","540-008"
"540-010C","מקדח יהלום - 5 יח","540-010"
"697-012C","מקדח יהלום ארוך - 5 יח  A1LC","697-012"
"697-014C","מקדח יהלום ארוך - 5 יח  A2LC","697-014"
"697-017C","מקדח יהלום ארוך - 5 יח  A3LC","697-017"
"697-021C","מקדח יהלום ארוך - 5 יח  A4LC","697-021C"
"697-023C","מקדח יהלום ארוך - 5 יח  A45LC","697-023C"
"697-032C","מקדח יהלום ארוך - 5 יח  A5LC","697-032C"
"FG.TC4","מקדח טונגסטן לטורבינה - 5 יח","FG.TC000004"
"FG.TC6","מקדח טונגסטן לטורבינה - 5 יח","FG.TC000006"
"FG.TC8","מקדח טונגסטן לטורבינה - 5 יח","FG.TC000008"
"FG.TC245","מקדח טונגסטן לטורבינה - 5 יח","FG.TC000245"
"FG.TC330","מקדח טונגסטן - 5 יח 330","FG.TC000330"
"FG.TC1156","מקדח טונגסטן לטורבינה - 5 יח","FG.TC001156"
"FG.TC1157","מקדח טונגסטן לטורבינה - 5 יח","FG.TC001157"
"FG.TC1557","מקדח טונגסטן לטורבינה - 5 יח","FG.TC001557"
"FG.TC1558","מקדח טונגסטן לטורבינה - 5 יח","FG.TC001558"
"FG.TC85616","מקדח טונגסטן לטורבינה להשחזות / חיתוך מתכות קשות מאוד - 5 יח","FG.TC085616"
"FG.TC85618","מקדח טונגסטן לטורבינה להשחזות / חיתוך מתכות קשות מאוד - 5 יח","FG.TC085618"
"FG.TCKC1557","מקדח טונגסטן לחיתוך מתכת - 5 יח","FG.TCKC1557"
"TG TCKC2IN1","TG TCKC2IN1","TG TCKC2IN1"
"FG.TC7106","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC007106"
"FG.TC48L10H","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC48L10H"
"FG.TC48L12H","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC48L12H"
"FG.TC7406","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC007406"
"FG.TC7642","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC007642"
"FG.TC7664","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC007664"
"FG.TC1SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC1SL"
"FG.TC2SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC2SL"
"FG.TC4SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC4SL"
"FG.TC6SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC6SL"
"FG.TC8SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC8SL"
"FG.TC558SL","מקדח טונגסטן לטורבינה - 5 יח","FG.TC558SL"
"FG.TC702SL","מקדח טונגסטן לטורבינה - 5 יח","FG.TC702SL"
"FG151L-Z","מקדח זכריה 28mm - חבילה 5 יח","FG151L-Z"
"FG152-016","מקדח טונגסטן - ENDO Access safe end - יח 5","FG152-016"
"HP.TC4","מקדח טונגסטן לידיתן HP","HP.TC00004"
"HP.TC6","מקדח טונגסטן לידיתן HP","HP.TC00006"
"HP.TC557","מקדח טונגסטן לידיתן HP","HP.TC00557"
"HP.TC701","מקדח טונגסטן לידיתן HP","HP.TC00701"
"HP.TC702","מקדח טונגסטן לידיתן HP","HP.TC00702"
"HP001-033M","מקדח יהלום לידיתן","HP001-033M"
