id,item_number,name_he,excel_name,description_he,image_url,was_active
"711c824d-8bc2-4e9a-8fff-f50100868b33","130-012C","מקדח יהלום - 5 יח","130-012","7 7 אורך פעיל - 8 מ""מ","","true"
"11f0ae61-a71a-41f9-bc8f-3124b242a377","131-012C","מקדח יהלום בצורת צילינדר מחודד קו סיום של 135 מעלות - 5 יח","131-012","72 72 72 אורך פעיל - 10 מ""מ","","true"
"38c8a117-77fd-4f4d-a2a0-0b8898efb291","131-014C","מקדח יהלום - 5 יח","131-014C","3 אורך פעיל - 10 מ""מ","","true"
"f0293589-7199-4833-8375-6460d4b5f13f","139-010C","מקדח יהלום - 5 יח","139-010C","1 אורך פעיל - 4 מ""מ","","true"
"ab9a6518-20ef-4641-9c25-31f1f8f74af6","139-012C","מקדח יהלום - 5 יח","139-012","31 31 31 אורך פעיל - 4 מ""מ","","true"
"07e1ec9b-8b18-46c4-8d73-eca9ecd8da35","139-014C","מקדח יהלום - 5 יח","139-014","144 144 אורך פעיל - 4 מ""מ","","true"
"8d680da2-158e-4637-88d8-5556020e047f","140-012F","מקדח יהלום - 5 יח","140-012","אורך פעיל - 6 מ""מ","","true"
"2fc634c2-83e1-4489-ba62-3f8f5afeb102","140-014C","מקדח יהלום - 5 יח","140-014","אורך פעיל - 6 מ""מ","","true"
"bd4374d5-5f45-4b39-a0d5-ef6841d3341c","141-010C","מקדח יהלום - 5 יח","141-010C","אורך פעיל - 8 מ""מ","","true"
"aaf96e45-210c-401f-999b-d2bd66a331a9","141-012C","מקדח יהלום - 5 יח","141-012","128 128 128 128 128 אורך פעיל - 8 מ""מ","","true"
"c0bab6df-14de-4530-aecb-7d046ded75aa","141-014C","מקדח יהלום - 5 יח","141-014","4 4 4 4 אורך פעיל - 8 מ""מ","","true"
"45c7fc6f-80f0-410a-a353-e23f878d429a","141-016C","מקדח יהלום - 5 יח","141-016","5 5 5 5 אורך פעיל - 8 מ""מ","","true"
"efca8980-006e-433f-881f-54e2dcea466f","141-018XC","מקדח יהלום - 5 יח","141-018XC","אורך פעיל - 8 מ""מ","","true"
"c9e3a5f3-897c-4e5c-a05f-4168b61e1fc9","142-014M","מקדח יהלום - 5 יח","142-014M","אורך פעיל - 10 מ""מ","","true"
"94b2fdf9-6050-4150-b838-4e8339ee4ee9","150-016M","מקדח יהלום - 5 יח","150-016M","מקדח לקו סיום","","true"
"7b09cb99-ba90-4297-826f-af877316638e","164-010C","מקדח יהלום - 5 יח","164-010","אורך פעיל - 6 מ""מ","","true"
"7cdd8d83-8d8d-464e-855c-cfab4f11929f","164-012C","מקדח יהלום - 5 יח","164-012","1 1 אורך פעיל - 6 מ""מ","","true"
"4ebe16b2-ca35-4790-a1b6-ca856e2c9c12","164-014C","מקדח יהלום - 5 יח","164-014","2 2 2 2 אורך פעיל - 6 מ""מ","","true"
"65c931f7-8c31-428e-94c1-1575f5fb18d2","165-014XF","מקדח יהלום - 5 יח  E2SSF","165-014","2 2 אורך פעיל - 8 מ""מ","","true"
"4354c105-4942-4e57-b5ee-f8e7de1ed18f","166-010C","מקדח יהלום - 5 יח","166-010","11 11 11 11 אורך פעיל - 10 מ""מ","","true"
"349489f4-12e7-4db6-9661-79653b252a3d","166-012C","מקדח יהלום - 5 יח","166-012","11 11 אורך פעיל - 10 מ""מ","","true"
"77649f03-be39-4c53-b566-4ea52350f355","166-014M","מקדח יהלום - 5 יח","166-014","31 31 31 אורך פעיל - 10 מ""מ","","true"
